trusted,category
presciso do cartao de credito para comprar tablet neu um tablet comsigooooooo por favor e nao adiaanta vir com papinho de nal foi aprovado pessa de novo voces so da problemas e meu score abaixa cada ves que eu pesso nao aquento mais,Difícil conseguir crédito
recebi uma resposta automatica falando poderia fzr um cartao novodps a atendente me deixou no meio do atendimentopedi contato pra reclamacao me deu o msm email q me responderam com resposta automaticavoltei ao chat nao me responderam maisqueria mt o cartaose nao pode vou a concorrencia entaomas nao custava nd dizer a nao ia fazermt sacanagem responder falando q pode dps nao deixar fzr,Comentário detrator sem informação
essa nova atualizacao do app ta orrivel sinceramente muito instavel fica todo hora dando erro e quando poe pra antecipar parcelas nunca carrega,Aplicativo não funcional
nao consigo acessar,Problema de acesso
nao estou conseguindo fazer o cartao o que faco,Dúvida
meu cartao nao chegou desde o dia 13012019,Cartão não chegou
alguem pode me dizer pq o app do nubank nao esta abrindo faz uma semana q estou tentando abrir o app e nao abre depois da ultima atualizacao ele nao abriu mais,Problema de acesso
simplesmente impossivel de tirar fotos do documento pelo xiaomi redmi note 7 a camera nao foca e nao consigo realizar o cadastro no app ja vi outras pessoas reclamando disso e o problema nao e recente resolvam isso logo,Foto do documento
ruim,Comentário detrator sem informação
ola meu aplicativo nao aparece pra mim o login como faco pra consultar minha conta tentei pelo site e la aparece pra habilitar pc aguardo retorno obrigada,Sugestão de funcionalidade
nao estou conseguindo me registrar nao chega nenhum email com codigo estou tentando a dias e nada obs quando arrumarem vou mudar a minha avaliacao,Problema com código no e-mail
a app esta bugado no meu aparelho nao esta mais registrado a localizacao das compras e quando eu clico em uma notificacao nao mostra a compra apenas abre o app na tela inicial ja tentei de tudo e nada de mostra a localizacao das novas compras as antigas aparecema permissao esta ativada,Aplicativo não funcional
banco interessante,Elogio
quero meu aumento no limite nao compativel com meu salario por favor de ajudem to tendo que perdir cartao dos outros emprestado,Limite de crédito
muito ruim cobrancas indevidas no cartao de credito e atendentes nao resolvem os problemas importantes,Comentário detrator sem informação
tudo funciona pratico porem falta coisas uteis como receber transferencia estrangeira isso e muito comum e util e acho que poderia ter uma opcao parecido como boleto mas que envia um link de pagamento parecido com do mercado pago e ser pago com cartao de credito isso poderia fazer as pessoas que usam estes recursos de outros app migrarem para o nubank sem custo ou com uma taxa muito menor em comparacao aos outros esta perdendo neses quesitos mudancas boas fazem uma diferenca significativa,Sugestão de funcionalidade
tenho xiaomi e lg nao ha um desenvolvimento no aplicativo para nenhum na hora de tirar foto do documento a camera fica embacada o feedback e que faca o procedimento em outro celular lamentavel,Foto do documento
apos essa ultima atualizacao o aplicativo ficou muito lento e esta ocorrendo erros forcando o encerramento,Aplicativo não funcional
e um bom app porem uso meu cartao ate o limite total mais eles nao aumenta o limite ja tenho 5 anos e meu limite nao sai de 8mil ja ro querendo cancelar e partir pra credcard que tenho o dobro do limite,Limite de crédito
pessimo ja tentei resolver um problema causado pelo proprio nubank com 5 atendentes fora por email e estou ha dias sem resposta pessimo ja foi bem melhor,Comentário detrator sem informação
autonomo nao tem direito a cartao de credito,Difícil conseguir crédito
porque nao me mandam o codigo pra q eu possa terminar o cadastro,Problema com código no e-mail
depois que atualizei nao estou conseguindo acessar o chat pois estou com problema na fatura,Problema de acesso
pessimo,Comentário detrator sem informação
nao estou conseguindo receber o email porfavor me ajudem,Problema com código no e-mail
hoje tentei fazer um saque 24 horas e o banco nao autorizou tentei varias vezes super descepcionado com esse banco nao recomendo se vc tem grandes valores em conta recomendo um banco com mais agilidade tipo santander,Comentário detrator sem informação
ja tive indicacoes de tres amigos e nao me chega email de confirmacao ja tentei outras vezes entrar por esse apk mas sem sussesso,Problema com código no e-mail
nao esta aceitando faser meu cartaodemora muito,Difícil conseguir crédito
otimo,Elogio
esta apresentando muitas falhar o app esta atualizado e fica so fechando quando e pra pagar um boleto fala que nao esta registrado isso estresa a gente,Aplicativo não funcional
eu nao consigo entra na minha conta pedi enviou do codigo no email nunca chega chato isso,Problema com código no e-mail
o aplicativo e otimo so ta faltando mas opcoes como acessa mas de uma conta no mesmo aparelho vc nao consegue se da pra fazer algum mim explica por favor,Dúvida
nao consigo acompanhar o rastreio do meu cartao pq,Sugestão de funcionalidade
bom,Elogio
ainda nao esta completo saindo falta de gerar extratos em formato pdf atraves do site so e possivel gerar extrato da fatura,Sugestão de funcionalidade
nao consigo acessar minha conta o app volta pro inicio sempre,Problema de acesso
nao recomendo pois paguei tudo que devia e a funcao credito eles nao liberam sendo que no procon me falaram que sao obrigados a liberar pois meu contrato e de cartao de credito quero que liberem meu cartao de credito ou vou cobrar indenizacao na justica,Difícil conseguir crédito
o email de verificacao nunca chega,Problema com código no e-mail
o aplicativo nao quer focar na hora de tirar foto do documento,Foto do documento
o codigo ao tentar fazer uma solicitacao de abertura de conta nunca chega em meu email mesmo solicitando um novo,Problema com código no e-mail
app horrivel temos que lutar pra acessar uma segunda conta meu marido tem o cartao e eu a conta mais nao temos 2 celulares entao temos que toda hora desinstalar,Aplicativo não funcional
amo de mais a nubank porem nao estou conseguindo acessar minha conta,Problema de acesso
vou cancelar esse cartao nao estou conseguindo fazer o deposito estou tentando a quase dois meses infelizmente,Depósito demora
ate quero fazer a conta mas quando vai tirar a foto do documento a camera fica pode e olha a a camera do meu celular e boa,Foto do documento
nao esta aparecendo a funcao criar cartao virtual,Sugestão de funcionalidade
app otimonunca deu problema para mim nesse ultimo 1 ano de usomas des de quando minha conta foi abertana epoca que o nubank abria contas com 50 reais de creditoate hj nunca me liberaram aumento de credito nem 1 real a maisisso desmotiva cada vez mais eu usar o cartao deles e faz com que eu prefira usar ate mesmo cartoes de debito de outras empresas como o do inter por esse motivo e tambem por ate hoje o nubank nao ter funcao pagamento pelo smartphone,Limite de crédito
aplicativo muito bomunico problema e que e ruim,Comentário detrator sem informação
aplicativo nao instala o download da certo mas na hora d instalar da erro,Aplicativo não funcional
nao consigo tirar foto do documento,Foto do documento
e se app e um lixo nao transforma dola,Comentário detrator sem informação
demora muito para aprovar a opcao credito na movimento munha conta a mais de um ano e a unica coisa q me falam e q n podem liberar a opcao credito para mim ainda realmente uma falta de consideracoes,Difícil conseguir crédito
acho sinceramente que a renda deveria ser considerada para conceder o limite inicial do cartao de credito como banco virtual eu recomendo mas como cartao de credito nao,Limite de crédito
aplicativo ruim nao instala,Comentário detrator sem informação
ta travando mais que tudo todo hora aparece que aplicativo nao responde,Aplicativo não funcional
extremamente decepcionada com esse banco eu criei uma conta digital transferiram dinheiro para minha nu conta agora eu nao consigo pagar boleto nao consigo transferir para outras contas o dinheiro pois alega falha na conexao e atualizacao de dados porem todos meus dados estao corretos e atualizados a droga do dinheiro ta preso na minha conta e eu nao consigo fazer nada com ele eu transfiro e volta pra mim de novo inferno de banco dou zero,Outro
pessimo servico se e para negar credito sem sequer analisar prefiro os bancos fisicos,Comentário detrator sem informação
eu ja tinha meu cartao nubank ha um ano e pedir aumento para eles e nada ai resolvi cancelar o meu cartao porque fiquei indignada com tamanha falta de consideracao por ser cliente a mais d um ano nunca atrasei uma parcela e todos os meses pesso alimento de limite e nada meu limite a mais de um ano era 800 agora mi fala o que compra com este valor ai resolvi cancelar e pedir outro cartao para ver sim vem com limite maior so q eles disseram que nao pode kkkk acho que tinha que conquista clientes,Limite de crédito
ruim,Comentário detrator sem informação
nunca aumenta o limite mesmo voce usando o limite todo,Limite de crédito
otimo app ficaria melhor ainda com deposito de cheque por imagem e opcoes de investimentos,Sugestão de funcionalidade
aplicativo ta fechando sozinho,Aplicativo não funcional
o app era otimo mais ha mais de um mes vem dando erro toda vez q finalizo um pagamento ou vou fazer uma transferencia sempre da erro isso sta se tornando frustrante e outra coisa nem sei porque me enviram cartao de debito se essa funcao nem esta disponivel pra ser usada acho uma tremenda falta de respeito com seus clientes ja q essa funcao nao existe ou nao sta disponivel porque simplesmente nao sao claros na hora de oferecer o cartao alem de que vcs mesmo gastam em vao,Aplicativo não funcional
o aplicativo e muito bom e o banco e bastante confiavel e pratico entretanto o app mudou a feature de dividir a conta eles tinham uma feature otima que dava a opcao de mandar um link para pagamento agora vai apenas uma push notification para o devedor se ele limpar as notificacoes sem ver e necessario ao credor refazer a divida e reenviar nao tem sentido nenhum volto a nota para 5 estrelas no dia que a feature que funcionava bem voltar ou quando a feature atual melhorar,Sugestão de funcionalidade
o email com o codigo nao chega nunca,Problema com código no e-mail
tou te tando abrir a conta mas o codigo nao chega no meu email e nao adianta que nao vem nem para o spam nem para a lixeira o que faco,Problema com código no e-mail
o codigo nunca chega no email,Problema com código no e-mail
o app e muito bom mas precisa de senha e o unico app de banco que nao tem senha muitos celulares sao compartilhados como o meu que deixo filhos fazer pesquisa escolares e assistir videos um app de banco nao pode ficar tao vulneravel a curiosidade infantil ou pessoas com outras intencoes senha do aparelho nao e a mesma coisa de senha do app quero o meu direito de deixar o celular desbloqueado para meus filhos mas quero meu direito de bloquear o app,Sugestão de funcionalidade
poderia da mas estrelas porem antes eu estava conseguindo entrar mas agora nao estou e outra preciso muito de um cartao e eles fica colocando a mensagem que nao pode me oferecer um cartao no momento pois o meu cpf foi analisado ai agora so com 3 meses quando passa os benditos 3meses vou de novo pedir falam a mesma coisa nao sei mas o que fazer muito desanimador,Difícil conseguir crédito
nubank por favor aumente meu limite sempre pago em dia mas as vezes tenho q antecipar a fatura pq o limite e muito baixo faz favor de aumentar,Limite de crédito
experiencia ruim aplicativo para muito ta travando meu cel,Comentário detrator sem informação
nao estou conseguindo acessar a minha conta,Problema de acesso
o aplicativo ta parando toda hora,Aplicativo não funcional
queria muito um cartao de credito so que nao me aceitam talvez pelo meu scorebem que poderia me dar uma chance,Difícil conseguir crédito
nao e seguro e nao e um banco,Comentário detrator sem informação
me cadastrei cheguei entrar na conta pela primeira vez e depois nao conseguir mais quando solicito o suporte nao me responde o que devo fazer simplesmente nao fazem caso pra resolver,Aplicativo não funcional
eu tento tirar as fotos do documento porem nao consigo focar a imagem consertem isso por favor,Foto do documento
pessimo horrivelsem mas comentarios,Comentário detrator sem informação
esta apresentando algumas falhas na mesma hora que eu estou utilizando o app ele trava e sai e volta pra tela inicial do cel,Aplicativo não funcional
gostaria de sugerir ao desenvolvedor do app que faca com que este app possa retomar ao acesso inicial quando a tela do app for bloqueado exemplo esta nos na hora do almoco no trabalho e temos que voltar as atividades rapidamente e nao temos tempo de sair do app quando isso ocorrer depois de algum tempo o app poderia derrubar o acesso para seguranca do cliente grata,Sugestão de funcionalidade
depois de anos de excelencia conseguiram me decepcionar a ponto de querer mudar de cartao apos eu pedir ajuda na contestacao de um valor que me foi roubado em uma loja online no qual a loja nao me responde e nao tenho contato e basicamente eles responderam por email se vira com a loja,Comentário detrator sem informação
pessimo,Comentário detrator sem informação
nao consigo acessar o dinheiro da minha conta ja estou a 3 dias com o dinheiro preso na conta nao consigo transferir ou movimentar de qualquer forma fica dando um erro de conexao,Outro
bom,Elogio
lixo de aplicativo tem tentei mais de 5 vezes solicitar o cartao e nunca e aprovado lixo propaganda enganosa,Difícil conseguir crédito
sempre paguei meu cartao em dia ai belo dia o time de seguranca bloqueou meu cartao ja faz mais de 30 dias e nao me dao retorno mando email e nao respondem falta de consideracao com o cliente nao recomendo,Outro
o app para todo vez que fecho uma aba do servico fora isso e otimo,Elogio
ja tem quase um mes que abri a conta nubank e ate hj nao chegou meu cartao de debitoquero saber como vou sacar meu dinheiro que depositei na conta,Cartão não chegou
tenho conta no app e nao consigo acessar,Problema de acesso
horrivel nao consigo concluir o cadastro diz que vai enviar um codigo para meu email e esse codigo nunca chega pra poder finalizar tentei por 10 dias seguidos e nada de codigo vou e desistir e tentar no banco inter tchau,Problema com código no e-mail
meu cartao nunca chegou,Cartão não chegou
bom,Elogio
pessimo um lixo de aplicativo um dia aparece opcao no outro desaparece me causou muito transtorno por nao poder gerar uma cobranca porque simplesmente a droga da opcao nao aparecia mais do nada nao baixe esse lixo usem o picpay que esse sim nunca me deixou na mao,Aplicativo não funcional
nao consigo fazer login so aparece a opcao comecar mas eu ja tenho conta e nao aparece pra fazer login,Sugestão de funcionalidade
nao esta prestando para cadastrar o codigo de cadastro nao esta chegando no email nao sei o qur fizeram mas esta horrivel de mexer,Problema com código no e-mail
pessimo,Comentário detrator sem informação
a camera do app muito ruim para envio dos documentos,Comentário detrator sem informação
o limite do meu cartao e 400 reais eu ganho 3 mil por mes assim nao da vou cancelar o meu cartao,Limite de crédito
a nubank diz que o atendimento e humanizado mas quem avalia se tu pode receber mais limite ou nao e um robo no chat a atendente so esta ali pra te dizer que quem vai te liberar limite e o robo sou funcionaria publica nao ganho mal e meu limite e ridiculo a experiencia com nubank e frustante e cansativa pois concentro meus gastos ali faco tudo pra subir o limite e nao sobe e so enganacao essas dicas do blog to me organizando pra largar esse banco de mao e uma falta de respeito,Limite de crédito
o aplicativo esta fechado sozinho toda hora,Aplicativo não funcional
eu sou um cliente bem antigo logo quando comecou e sempre usei o credito quase todo e paguei todas as faturas em dia so que nesses 5 anos de nubank meu limite nunca aumentou nao passa de 900 reais tenho outros cartoes com limites maiores mas sempre usava o nubank pra tentar melhorar o limite mas isso nunca aconteceu ja nao uso mais o credito somente a nuconta pq nao da mais pra esperar a boa vontade deles pelo q vi muitas pessoas reclamam disso ta na hora me melhorar,Outro
nao gosto dese aplicativo,Comentário detrator sem informação
cade o meu cartao,Cartão não chegou
por favor libera meu cartao de credito,Difícil conseguir crédito
pq que o codigo nunca chega no meu email,Problema com código no e-mail
gosto do app e otimo facilita tudo melhor cartao que ja tive e tenho a unica coisa que deixa a desejar e o limite do cartao de credito que e muito baixo e dificil de mais pra conseguir um limite maior se nao fosse isso serio maravilhoso como credito nao recomendo tive q fazer outro cartao com limite justo,Elogio
muito ruim nao da limite mesmo com uma carteira assinada em 210000,Comentário detrator sem informação
nao presta e muito ruim,Comentário detrator sem informação
pessimo nao aumenta limite,Comentário detrator sem informação
como disponibilizar a funcao cobrar nao aparece no meu app,Sugestão de funcionalidade
dei 3 estrela por causa da seguranca o app do banco do brasil existe um tempo para fazer a transacao depois ele fecha automatico no app do nubank se a gente esquecer de sair do app ele continua aberto e disponivel para qualquer pessoa que pegar seu celular inclusive um ladrao,Sugestão de funcionalidade
banco com atendimento e servico pessimo as parcelas que eu adianto eles simplesmente nao conseguem visualizar e eu acabo pagando elas de novo no proximo mes ja e a segunda e ultima vez que isso acontece vou encerrar minha conta e bloquear o cartao estao de nota 10 pelo pessimo servico,Comentário detrator sem informação
a opcao de cobranca simplismente desapareceu do meu app,Sugestão de funcionalidade
o cartao e bom por nao ter q pagar anuidadeporem deixa a desejar qdo pedimos aumento de limite nao e igual a propagandaengana pq vc pede 100 a mais de limite e ja negam na hora sempre pago a fatura antes do vencimento mas nao adianta pq nao levam isso em consideracao falam q e pra gente gastar mais q ajuda na hora de aumentar o limite gasto meu saldo todo e ainda falta pra poder gastar mais acho q nao deviam prometer q vc pode aume tar seu limite se eles nao tem isso pra oferecer,Limite de crédito
bom,Elogio
completamente chateado nao demora nem 30 min e ja nao me aprovam precisam melhorar e muito o mecanismo de aprovacao edit desde 2016 pedindo e nao me aceitam nem para conta debito aff,Difícil conseguir crédito
nao estou conseguindo trasferir e nem efetuar compras com o debito nubanktento entrar em cntt mais ngm responde,Outro
gostaria muito de conseguir tirar uma simples foto do meu documento mas por algum motivo a camera do meu celular nao foca quando esta sendo usada dentro do app fora do app a camera e perfeita dentro do app nao funciona direito triste,Foto do documento
nao estou conseguindo tirar foto com foco toda foto que tento tirar a camera do nubank desfoca meu celular e um redmi note 7,Foto do documento
em meu primeiro depositei assim que caiu meu dinheiro minha conta foi bloqueada pessimo servico,Depósito demora
o cartao de credito que e bom eles nao libera,Difícil conseguir crédito
bom nao e excepcional mas bom,Elogio
nao estou conseguindo acessar o app,Problema de acesso
muito poluido atalhos que desencontra,Comentário detrator sem informação
era muito bom mas depois da ultima atualizacao o app fecha do nada,Aplicativo não funcional
ruim estou tentando transferir um dinheiro e a senha sempre dar incorreta mas a senha nao esta errada so que o aplicativo fala que esta incorreta,Aplicativo não funcional
esta travando demais e saindo do app sozinho toda hora o rendimento e baixo tem muitos descontos o mercado pago rende muito mais nao da para transferir precisanso do dinheiro e recusa pessima experiencia nao deixarei mais dinheiro la,Aplicativo não funcional
o app nao ta bom toda hora para e sai e tbm nao consigo ver meu saldo,Aplicativo não funcional
nao esta funcionando o app nao aparece o valor e nao gera boleto,Aplicativo não funcional
o aplicativo pede senha e cpf toda hora e mesmo com os dados e senha corretos diz q esta invalido muito cansativo ter q tentar varias x e so entrar na 3 0u 4 x vou cancelar a conta n consigo fazer nada qdo pede a senha de 4 digitos sai do app ao digitar n reconhece meu cpfhorrivel assim q conseguir tranferir meu dinheiro excluo aconta,Aplicativo não funcional
nunca atrasei uma conta seja ela qual for na minha vida tenho um score de 950 pontos enfim como podem perceber sou extremamente sistematico e responsavel financeiramente criei um aviso por curiosidade de emprestimo para verificar as taxas e possibilidade futuras meses depois sem resposta fui questionar o motivo da nao liberacao de nenhum valor a resposta foi nubank a analise e feita sistemicamente eu mais e a bandeira de atendimento humanizado que vcs tanto pregam nubank mesmo que fosse feito por um pessoa o resultado seria o mesmo ai entao posso afirmar a vcs que mesmo se quisessem nao encontrariam absolutamente nada que me fosse impedir de contemplar um emprestimo sistema ineficiente robotizado e beira o ridiculo ter que expor tal vergonha a bandeira que eles levantam nao condiz com o servico prestado,Comentário detrator sem informação
era um aplicativo bom mas ultimamente so trava e para de funcionar por favor resolvam esse problema,Aplicativo não funcional
o app passou a nao mais acessar a conta se a opcao solicitar senha de desbloqueio do aparelho em protecao do app estiver marcada entra em loop infinito consertem isso,Sugestão de funcionalidade
falta um tema escuro,Sugestão de funcionalidade
bom,Elogio
o nubank e a nuconta sao muito bom mais infelizmente eles nunca mim aceitaram no credito acho que devido a fama que eles tem por causa do famoso roxinho tao desejado por muitos brasileiros eles aumentaram cada vez mais a burocracia e os criterios de analise de credito para liberar um limite de credito pros seus clientes so acho que e muita humilhacao para te um cartao de credito nesse nubank a melhor opcao e procurar te um cartao de credito nao pela fama mais sim pelo limite e a facilidade,Difícil conseguir crédito
na verdade eu n muito benefico neste cartao de debito eu estou precisando de um cartao de credito,Difícil conseguir crédito
nao consigo concluir o cadastro pois a camera do aplicativo fica embacada e nao foca pra tirar a foto do rg aparelho redmi note 7,Foto do documento
o email com o codigo de verificacao nao chegouesperei mais de 2 dias e nada muito ruim,Comentário detrator sem informação
app ta fechando toda hora faz tempo fala infelismente o nubenk parou e fecha concertem por favor ne faz tempoisso,Aplicativo não funcional
o limite nunca aumenta preciso de um limite maior ja tenho mais de ano usando o cartao,Limite de crédito
estou fazendo meu cadastro mas na hora de tirar a foto do meu rg a camera do app nao esta focando e meu celular esta funcionando perfeitamente vcs teria como resolver esse problema,Foto do documento
esta ultima atualizacao esta travando,Aplicativo não funcional
nao consigo mais acessar pede pra digitar cpf em seguida nome completo e depois email nunca chega o email com o codigo,Problema com código no e-mail
diz pra clicar em ja tenho convite sendo que nem aparece essa opcao e outra que volta tudo do comeco,Sugestão de funcionalidade
bom,Elogio
analise de credito incoerente e sem logica tenho a nuconta e fiz o pedido do cartao de credito e fui negado um dia apos o nubank ter negado minha proposta dai fui e fiz a proposta no santander e pra minha surpresa fui aprovado e com um limite de credito significativo para minhas despesas agora me pergunto qual a vantagem de ter uma nuconta se nem capacidade de aprovarem meu cartao de credito o nubank teve dai faco uma proposta de cartao em outro banco e sou aprovado,Difícil conseguir crédito
por que o limite do meu cartao nunca aumenta ja fei um ano que eu fiz ate agora nao aumentou mi da uma raiva,Limite de crédito
ja tem umas duas semana direto aparecendo que o app nao esta respondendo e toda vez que abro na play story esta pra atualizar so essa semana atualizei 4 vezes,Aplicativo não funcional
boa noite quando pede para tirar foto dos documentos a camera nao foca o que deixa muito dificil tirar fotos legiveis e com qualidade gostaria de resolver esse problema obrigado,Foto do documento
eu acho que poderia ter um suporte maio principalmente pros iniciante igual euestou deus de cedo tentado fala com um atendenteporque eu entrei na conta da minha mae pra cancelar a conta delacancelei a contar dela com sucessomas eu nao consigo colocar a minha conta no meu celular porque fica falado que esse celular ja tem uma contaeu preciso de ajuda,Dúvida
estou colocando meu email mas nao esta pegando,Problema com código no e-mail
o ruim do nubank e que nao e disponibilizado imediatamente o cartao de credito voce nao recebe ele e quem esta justamente abrindo a conta virtual e alguem que precisa de imediato fazer transacoes que precisa da funcionalidade na hora se isso fosse possivel e era o que eu pretendia me agradaria muito mais mas nao foi o que ocorreu,Difícil conseguir crédito
nao consigo estalar o apps nubank,Problema de acesso
tem dias que eu enviei mais dados ate agora nao me enviaram codigo nenhum,Problema com código no e-mail
faz um bom tempo ja que sou cliente nu e eles nunca fazem um aumento de limite consideravel eu sempre utilizo o limite total e pago todas as parcelas em dia procuro sempre deixar os dados atualizados juntamente com a minha renda atual mas nao adianta fiz um cartao com uma outra operadora tambem zero anuidade a pouco tempo que de inicio ja me deu um limite muito maior vou acabar desistindo do nubank estou decepcionada e vejo que a maioria dos cliente reclamam pelo mesmo motivo,Limite de crédito
o banco e otimo nao tenho reclamacoes mas o app e muito ruim sempre trava e lento ou tenho que clicar mais de 3 vezes para abrir as funcoes que quero,Aplicativo não funcional
fiz uma ted de outro banco para a minha conta nubank e ainda nao caiu sem falar que as configuracoes sao pessimas nao consigo acompanhar meu saldo e estou perdendo dinheiro so me iludi pois eu acreditava que a nubank iria poder me ajudar nos meus negocios decepcao,Depósito demora
app esta fechando poderiam verificar por favor preciso verificar meu saldo,Aplicativo não funcional
eu fiz e deu tudo certo soi que meu cartao desde marco que nao chegou ate agora muito decepcionada,Cartão não chegou
otimo cartao porem o limite nunca aumenta,Limite de crédito
minha amiga fez uma trasferencia de 200 reais pra mim ja tem quase 3 dias ate agora o dinheiro nao caiu na minha conta da nubank,Depósito demora
nao consigo acessar minha conta sempre entro no app e me pede pra colocar o cpf e esperar o codigo convite mas esse codigo nunca chega sendo que eu ja tenho a conta dessa forma n consigo acessar nenhuma informacao pelo celular e nem pelo computador,Problema de acesso
o app toda hora fica pedindo identidade toda hora fora que a autorizacao de acesso ta bugada app ja foi melhor,Aplicativo não funcional
nao consigo instalar esse app no smartphone zenfone ele nem aparece na busca pq sera,Problema de acesso
poxa nubank a muito tempo tento fazer o cadastro pelo app e simplesmente nao consigo no momento de tirar a foto o aplicativo de voces simplesmente nao foca em nada e impossivel tirar uma foto nitida do documento com o aplicativo de voces,Foto do documento
nao esta abrindo no meu aparelho o app,Aplicativo não funcional
meu app nao funciona aparece que estao configurando o app pra mim isso ha uma semana telefonei a atendente disse que era pra mandar um email pro setor responsavel mandei o email nao responderam,Dúvida
bom,Elogio
estou gostanto mesmo eu tido comecado com um valor muito baixo tido demorado um pouco para aumentar meu valor eu usando muito mas aumentou peguei um atendente no chat muito mal educadoparecia que eu estava conversando com uma crianca outro querendo que eu mandasse foto minha e dos meus documentos no email dele depois a nubank me mandou email falando que nao concordou com minha atitude entao e procedimento de voces jamais alguem ira fazer isso tem que mudar isso e esses funcionarios,Limite de crédito
o app nao foca a foto de jeito nenhum nao consigo enviar as fotos do documentos pq simplesmente o app nao foca a camera do cel esta boa utilizei o mesmo recursos em outros app sem problemas mas nesse simplesmente nao funciona,Foto do documento
so nao dou mais estrelas porque a nubank pisou na bolano meu aniversario a empresa nubank colocou um video de cachorros cantando o parabens nao gostei achei uma falta de respeito e uma ideia de quem o fez muito infeliz afinal quem estava aniversariando e um ser humanono caso eu dia 30 de maio do mes passado nao um cachorro achei uma falta de respeito poderiam ser mais criativos,Outro
bom,Elogio
ja faz 3 meses que estou esperando meu cartao chegar ate agora nem sinal,Cartão não chegou
eu nao estou conseguindo abrir uma conta o app diz q vai mandar um codigo no meu email porem nunca chega no meu email,Problema com código no e-mail
acabei de comprar uma casa financiada em meu nome e nao consigo tem um limite de credito nesse cartao no momento do tenho cartao de debito de 3 em 3 meses a mensagem aparece no momento nao podemos lhe oferecer um cartao de credito,Limite de crédito
abre a conta agora me falaram que a conta esta bloqueada sendo que eu ja tinha feito uma transferencia para conta e agora no app nao aparece pra ver saldo e nada mais,Bloqueio de conta
bom mais nao aumenta o limite nunca eu sempre pago minhas fatura no prazo certo mesmo assim nunca aumenta meu limite,Limite de crédito
nao consigo estala no xioami note2,Problema de acesso
estou esperando meu cartao chegar ate hja data era pro mes de marco,Cartão não chegou
nao funciona faco o cadastro e nao entra pessimo,Comentário detrator sem informação
o banco e bom e excelente e excepcional mas peca muito na analise para aumento de limite eu ja cansei de pedir mais limite fiz tudo o que eles disseram e nao aumenta cliente a quase 3 anos acho muita falta de tato com os clientes 1 estrela,Limite de crédito
falta a funcao boleto da conta pj e um cartao nem que seja prepago para compras da empresa em servicos online,Sugestão de funcionalidade
meu limite e totalmente incompativel com minha renda isso e um saco resolvam isso por favor,Limite de crédito
sumiu no meu app a opcao cobrar um amigo agora terei que ter a cara de pau de cobrar na lata help,Sugestão de funcionalidade
estou na fase de enviar as fotos dos documentos mas a camera do aplicativo nessa fase e horrivel as letras do rg ficam todas embacadas e nao fica legivel assim as fotos sao reprovadas a todo momento a camera comum do meu celular e boa e um redmi note 7,Foto do documento
com essa ultima atualizacao tiraram a opcao cobrar e tiraram a opcao de mandar pelo wpp e colocaram a opcao dividir mas vc so pode dividir cm qm esta salvo no seu app ai vc pensa se eu tenho que cobrar 10 pessoas no valor de 10 reais terei que salvar os dados da conta de todas elas para depois fazer uma cobranca de 110 reais pq vc e incluso na cobranca p dividir pelas 10 pessoa fora que vc n tem controle se cobrou a pessoa ou se ela recebeu a cobranca voltem com a opcao cobrar,Sugestão de funcionalidade
o programa de pontos nao presta uma verdadeira roubada principalmente na funcao do dobro de pontos onde vc tem que usar o site parceiro especifico nao podendo ser o app oficial da empresa parceira que tem como seu maior problema nao encontrar alguns produtos que estao disponiveis no app oficial obs usei o cod do produto no site parceiro para tentar encontrar e mesmo assim nao encontrei so pelo fato de nao poder usar o app oficial ja e um desconforto nao encontrar o produto que deseja,Comentário detrator sem informação
nao sei oq ta acontecendo eu abro o app e toda hora ta dizendo erro e sai do app ja atualizei oq e,Aplicativo não funcional
ate que gostava do banco nubank porem fiz um deposito a mais de 3 dias e ainda nada de cair na conta e isso naoe a primeira vez um conselho procure outro,Depósito demora
meu movimento e com cartao de credito quero o meu,Difícil conseguir crédito
nao consigo fazer login da minha conta o codigo nao chega de jeito nenhum no email nem em spam em canto nenhum simplesmente nao chega,Problema com código no e-mail
nao recebo mais as notificacoes de compra na hora agora so abrindo o app,Aplicativo não funcional
o app simplesmente da erro toda hora nao consigo acessar ja desinstalei e instalei de novo nada mudou aguardo uma solucao,Aplicativo não funcional
nao estou conseguindo avancar na etapa de tirar a foto do documento quando eu foco a camera para captar a imagem simplesmente fica embacada a imagem nao sendo possivel ler as informacoes do documento nao se trata de um problema na minha camera pois tanto quando acionado direto do celular quanto por outros aplicativos a imagem aparece perfeita e nitida solicito um suporte para que eu possa concluir o meu cadastro junto a empresa,Foto do documento
nso chega o codigo no meu email,Problema com código no e-mail
quando aprovarem meu cartao eu aumento a quantidade de estrelas,Outro
nao tenho restricoes no meu cpf mesmo assim meu cartao de credito foi negado,Difícil conseguir crédito
nubank voces precisam trabalhar uma versao light menos pesada pois as atualizacoes do app estao cada vez mais exigindo espaco no celular voces precisam pensar em versoes mais enxutas do app senao daqui a pouco vamos ter que mudar de celular a cada atualizacao que os bancos fazem,Sugestão de funcionalidade
lixo nao me aceitam,Difícil conseguir crédito
eu nao consigo logar no aplicativopois nao aparece a opcao logine sim so a opcao comecar,Sugestão de funcionalidade
nao consigo tirar a foto dos documentos toda vez a camera nao foca no documento,Foto do documento
por favor atualize esse app porque eu paguei tudo ai nao devo mais nada ai,Comentário detrator sem informação
